time,location,total_trip_count,value,rain,Weekday_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,Area_N,Area_NE,Area_NW,Area_S,Area_SE,Area_SW,Area_W,Bike_Lanes,Area_CC
01/01/2020,North Strand,15,672.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
02/01/2020,Guild Street,10,887.0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
02/01/2020,Grove Road Totem,5,2276.0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
02/01/2020,North Strand,40,1698.0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
02/01/2020,Charleville Mall,35,72.0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
03/01/2020,North Strand,40,2032.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
03/01/2020,Charleville Mall,45,102.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
03/01/2020,Guild Street,10,1001.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
03/01/2020,Grove Road Totem,5,2513.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
04/01/2020,North Strand,35,1032.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
04/01/2020,Charleville Mall,20,56.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
04/01/2020,Guild Street,10,466.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
05/01/2020,Guild Street,5,428.0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
05/01/2020,Charleville Mall,10,42.0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
05/01/2020,North Strand,35,882.0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
06/01/2020,Guild Street,30,1406.0,2.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
06/01/2020,Charleville Mall,70,140.0,2.8,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
