location,time,total_trip_count,value,Bike_Lanes,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,rain,Area_N,Area_NE,Area_NW,Area_S,Area_SE,Area_SW,Area_W,Area_CC
Charleville Mall,05/01/2020,70,295.0,1,0,0,0,0,0,0,0,0,0,0,0,2.4,0,1,0,0,0,0,0,0
Charleville Mall,12/01/2020,425,771.0,1,0,0,0,0,0,0,0,0,0,0,0,24.2,0,1,0,0,0,0,0,0
Charleville Mall,19/01/2020,0,805.0,1,0,0,0,0,0,0,0,0,0,0,0,13.0,0,1,0,0,0,0,0,0
Charleville Mall,26/01/2020,0,894.0,1,0,0,0,0,0,0,0,0,0,0,0,1.8,0,1,0,0,0,0,0,0
Charleville Mall,02/02/2020,50,890.0,1,1,0,0,0,0,0,0,0,0,0,0,3.5,0,1,0,0,0,0,0,0
Charleville Mall,09/02/2020,395,875.0,1,1,0,0,0,0,0,0,0,0,0,0,49.5,0,1,0,0,0,0,0,0
Charleville Mall,16/02/2020,120,678.0,1,1,0,0,0,0,0,0,0,0,0,0,39.2,0,1,0,0,0,0,0,0
Charleville Mall,23/02/2020,0,739.0,1,1,0,0,0,0,0,0,0,0,0,0,41.3,0,1,0,0,0,0,0,0
Charleville Mall,01/03/2020,45,749.0,1,0,1,0,0,0,0,0,0,0,0,0,11.7,0,1,0,0,0,0,0,0
Charleville Mall,08/03/2020,405,912.0,1,0,1,0,0,0,0,0,0,0,0,0,3.4,0,1,0,0,0,0,0,0
Charleville Mall,15/03/2020,210,821.0,1,0,1,0,0,0,0,0,0,0,0,0,19.9,0,1,0,0,0,0,0,0
Charleville Mall,22/03/2020,0,544.0,1,0,1,0,0,0,0,0,0,0,0,0,2.0,0,1,0,0,0,0,0,0
Charleville Mall,29/03/2020,0,434.0,1,0,1,0,0,0,0,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0
Charleville Mall,05/04/2020,275,367.0,1,0,0,1,0,0,0,0,0,0,0,0,3.9,0,1,0,0,0,0,0,0
Charleville Mall,12/04/2020,285,501.0,1,0,0,1,0,0,0,0,0,0,0,0,1.8,0,1,0,0,0,0,0,0
Charleville Mall,19/04/2020,0,593.0,1,0,0,1,0,0,0,0,0,0,0,0,3.8,0,1,0,0,0,0,0,0
Charleville Mall,26/04/2020,0,696.0,1,0,0,1,0,0,0,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0
Charleville Mall,03/05/2020,135,671.0,1,0,0,0,1,0,0,0,0,0,0,0,6.7,0,1,0,0,0,0,0,0
Charleville Mall,10/05/2020,275,911.0,1,0,0,0,1,0,0,0,0,0,0,0,3.2,0,1,0,0,0,0,0,0
Charleville Mall,17/05/2020,35,908.0,1,0,0,0,1,0,0,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0
Charleville Mall,24/05/2020,0,996.0,1,0,0,0,1,0,0,0,0,0,0,0,4.0,0,1,0,0,0,0,0,0
Charleville Mall,31/05/2020,0,1364.0,1,0,0,0,1,0,0,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0
Charleville Mall,07/06/2020,405,990.0,1,0,0,0,0,1,0,0,0,0,0,0,3.4,0,1,0,0,0,0,0,0
Charleville Mall,14/06/2020,205,860.0,1,0,0,0,0,1,0,0,0,0,0,0,16.9,0,1,0,0,0,0,0,0
Charleville Mall,21/06/2020,0,1009.0,1,0,0,0,0,1,0,0,0,0,0,0,38.8,0,1,0,0,0,0,0,0
Charleville Mall,28/06/2020,0,924.0,1,0,0,0,0,1,0,0,0,0,0,0,8.1,0,1,0,0,0,0,0,0
Charleville Mall,05/07/2020,215,796.0,1,0,0,0,0,0,1,0,0,0,0,0,17.5,0,1,0,0,0,0,0,0
Charleville Mall,12/07/2020,340,827.0,1,0,0,0,0,0,1,0,0,0,0,0,29.6,0,1,0,0,0,0,0,0
Charleville Mall,19/07/2020,0,1064.0,1,0,0,0,0,0,1,0,0,0,0,0,8.3,0,1,0,0,0,0,0,0
Charleville Mall,26/07/2020,0,928.0,1,0,0,0,0,0,1,0,0,0,0,0,21.9,0,1,0,0,0,0,0,0
Charleville Mall,02/08/2020,110,1244.0,1,0,0,0,0,0,0,1,0,0,0,0,11.7,0,1,0,0,0,0,0,0
Charleville Mall,09/08/2020,405,1630.0,1,0,0,0,0,0,0,1,0,0,0,0,1.6,0,1,0,0,0,0,0,0
Charleville Mall,16/08/2020,100,1549.0,1,0,0,0,0,0,0,1,0,0,0,0,10.5,0,1,0,0,0,0,0,0
Charleville Mall,23/08/2020,0,1134.0,1,0,0,0,0,0,0,1,0,0,0,0,41.9,0,1,0,0,0,0,0,0
Charleville Mall,30/08/2020,0,1277.0,1,0,0,0,0,0,0,1,0,0,0,0,37.9,0,1,0,0,0,0,0,0
Charleville Mall,06/09/2020,320,1471.0,1,0,0,0,0,0,0,0,1,0,0,0,33.1,0,1,0,0,0,0,0,0
Charleville Mall,13/09/2020,275,1652.0,1,0,0,0,0,0,0,0,1,0,0,0,1.4,0,1,0,0,0,0,0,0
Charleville Mall,20/09/2020,0,1709.0,1,0,0,0,0,0,0,0,1,0,0,0,3.5,0,1,0,0,0,0,0,0
Charleville Mall,27/09/2020,0,1738.0,1,0,0,0,0,0,0,0,1,0,0,0,16.7,0,1,0,0,0,0,0,0
Charleville Mall,04/10/2020,245,1402.0,1,0,0,0,0,0,0,0,0,1,0,0,47.2,0,1,0,0,0,0,0,0
Charleville Mall,11/10/2020,365,1484.0,1,0,0,0,0,0,0,0,0,1,0,0,17.9,0,1,0,0,0,0,0,0
Charleville Mall,18/10/2020,20,1602.0,1,0,0,0,0,0,0,0,0,1,0,0,7.0,0,1,0,0,0,0,0,0
Charleville Mall,25/10/2020,0,1396.0,1,0,0,0,0,0,0,0,0,1,0,0,9.8,0,1,0,0,0,0,0,0
Charleville Mall,01/11/2020,0,999.0,1,0,0,0,0,0,0,0,0,0,1,0,18.6,0,1,0,0,0,0,0,0
Charleville Mall,08/11/2020,410,1303.0,1,0,0,0,0,0,0,0,0,0,1,0,6.2,0,1,0,0,0,0,0,0
